FACILITY,SampleDate,Time,SPCODE,LGT,ADCLIP,Size Race,CWT_Race,DNA_Race,CATCH,SALVAGE,LOSS
2,5/12/2022,22:00,1,82,N,F,,,1,4,3.27
2,5/12/2022,22:00,1,87,N,F,,,1,4,3.27
2,5/13/2022,2:00,1,83,N,F,,,1,4,3.27
2,5/13/2022,2:00,1,96,N,F,,,1,4,3.27
2,5/13/2022,2:00,1,103,N,S,,,1,4,3.88
2,5/13/2022,8:00,1,98,N,S,,,1,4,3.27
1,5/13/2022,18:45,1,88,N,F,,,1,1,4.33
1,5/13/2022,18:45,1,93,N,F,,,1,1,4.33
1,5/13/2022,18:45,1,97,N,S,,,1,1,4.33
2,5/14/2022,2:00,1,96,N,F,,,1,4,3.27
1,5/14/2022,13:00,1,102,N,S,,,1,4,17.28
1,5/15/2022,1:00,1,83,N,F,,,1,2,8.9
1,5/15/2022,4:45,1,130,C,S,S,,1,1,4.33
2,5/15/2022,16:00,1,109,N,S,,,1,4,3.88
2,5/16/2022,16:00,1,88,N,F,,,1,4,3.27
2,5/17/2022,4:00,1,85,N,F,,,1,4,3.27
2,5/17/2022,20:00,1,91,N,F,,,1,4,3.27
2,5/19/2022,4:00,1,98,N,F,,,1,4,3.27
2,5/19/2022,22:00,1,81,N,F,,,1,4,3.27
2,5/19/2022,22:00,1,87,N,F,,,1,4,3.27
1,5/20/2022,21:00,1,88,N,F,,,1,2,9.11
1,5/20/2022,23:00,1,84,N,F,,,1,4,18.2
1,5/21/2022,17:45,1,90,N,F,,,1,1,4.33
1,5/21/2022,17:45,1,94,N,F,,,2,2,8.67
1,5/21/2022,17:45,1,101,N,F,,,1,1,4.33
1,5/21/2022,17:45,1,104,N,S,,,1,1,4.33
2,5/21/2022,18:00,1,90,N,F,,,1,4,3.27
1,5/22/2022,15:00,1,99,N,F,,,1,4,19.12
1,5/22/2022,15:45,1,87,N,F,,,1,1,4.33
1,5/22/2022,15:45,1,99,N,F,,,1,1,4.33
1,5/23/2022,9:00,1,84,N,F,,,1,2,9.06
1,5/23/2022,14:00,1,89,N,F,,,1,2,9.02
1,5/23/2022,14:45,1,86,N,F,,,1,1,4.33
1,5/23/2022,14:45,1,87,N,F,,,2,2,8.67
1,5/23/2022,14:45,1,92,N,F,,,1,1,4.33
2,5/23/2022,10:00,1,102,N,F,,,1,4,3.88
